Retailer,Region,State,City,Product,Price per Unit,Units Sold,Operating Profit,Sales Method,Total Sales,Date
West Gear,West,Utah,Salt Lake City,Women's Street Footwear,10,350,1225,In-store,3500,9/12/2021
Amazon,Midwest,Ohio,Columbus,Women's Athletic Footwear,25,350,3500,Online,8750,4/10/2021
Walmart,South,Mississippi,Jackson,Women's Athletic Footwear,25,350,3500,Online,8750,10/18/2021
Sports Direct,South,Mississippi,Jackson,Men's Athletic Footwear,25,350,3062.5,Online,8750,2/21/2021
Walmart,South,Arkansas,Little Rock,Women's Street Footwear,10,350,1400,Online,3500,3/19/2021
Walmart,South,Arkansas,Little Rock,Women's Apparel,25,350,3500,Online,8750,3/19/2021
Walmart,South,Arkansas,Little Rock,Women's Street Footwear,15,350,2100,Online,5250,9/19/2021
West Gear,South,Oklahoma,Oklahoma City,Women's Apparel,20,350,2800,Online,7000,2/21/2021
West Gear,South,Oklahoma,Oklahoma City,Men's Athletic Footwear,20,350,2450,Online,7000,10/21/2021
Kohl's,South,Oklahoma,Oklahoma City,Men's Athletic Footwear,25,350,3062.5,Online,8750,1/16/2021
Kohl's,South,Oklahoma,Oklahoma City,Women's Street Footwear,15,350,1837.5,Online,5250,1/16/2021
Kohl's,South,Oklahoma,Oklahoma City,Women's Apparel,25,350,3062.5,Online,8750,1/16/2021
West Gear,Northeast,West Virginia,Charleston,Women's Apparel,25,350,3500,In-store,8750,2/17/2021
Foot Locker,Southeast,Georgia,Atlanta,Men's Street Footwear,26,349,453.7,Outlet,9074,1/9/2021
West Gear,West,Utah,Salt Lake City,Women's Street Footwear,20,345,2415,In-store,6900,11/11/2021
West Gear,West,California,San Francisco,Men's Street Footwear,41,341,559.24,Outlet,13981,1/6/2021
West Gear,West,California,San Francisco,Men's Street Footwear,41,338,554.32,Outlet,13858,1/12/2021
West Gear,West,California,San Francisco,Men's Athletic Footwear,46,332,305.44,Outlet,15272,2/12/2021
Sports Direct,South,Texas,Dallas,Women's Street Footwear,35,332,581,Outlet,11620,9/24/2021
Foot Locker,Southeast,South Carolina,Charleston,Men's Street Footwear,62,326,1212.72,Online,20212,8/6/2021
Foot Locker,Midwest,Missouri,St. Louis,Women's Athletic Footwear,25,325,3250,In-store,8125,8/18/2021
Foot Locker,Midwest,Missouri,St. Louis,Women's Athletic Footwear,25,325,3250,In-store,8125,11/18/2021
West Gear,Midwest,Missouri,St. Louis,Women's Athletic Footwear,20,325,2600,In-store,6500,1/11/2021
West Gear,West,Utah,Salt Lake City,Men's Athletic Footwear,25,325,2843.75,In-store,8125,4/11/2021
West Gear,West,Utah,Salt Lake City,Women's Street Footwear,15,325,1706.25,In-store,4875,4/11/2021
West Gear,West,Utah,Salt Lake City,Women's Athletic Footwear,10,325,1300,In-store,3250,9/12/2021
West Gear,West,Utah,Salt Lake City,Men's Apparel,20,325,2275,In-store,6500,9/12/2021
Amazon,Midwest,Ohio,Columbus,Women's Athletic Footwear,25,325,3250,Online,8125,3/9/2021
Foot Locker,South,Mississippi,Jackson,Women's Athletic Footwear,25,325,3250,Online,8125,2/18/2021
Walmart,South,Arkansas,Little Rock,Men's Athletic Footwear,20,325,2275,Online,6500,3/19/2021
Walmart,South,Arkansas,Little Rock,Women's Athletic Footwear,15,325,1950,Online,4875,9/19/2021
Walmart,South,Arkansas,Little Rock,Men's Apparel,25,325,2843.75,Online,8125,9/19/2021
West Gear,South,Arkansas,Little Rock,Women's Street Footwear,15,325,1950,Online,4875,2/21/2021
Kohl's,Midwest,Kansas,Wichita,Women's Apparel,20,325,2275,Online,6500,2/14/2021
Kohl's,Midwest,Kansas,Wichita,Men's Athletic Footwear,20,325,2275,Online,6500,10/14/2021
West Gear,Northeast,West Virginia,Charleston,Women's Street Footwear,20,325,2600,In-store,6500,3/16/2021
West Gear,West,California,San Francisco,Men's Street Footwear,40,322,386.4,Outlet,12880,2/11/2021
Sports Direct,South,Texas,Dallas,Women's Street Footwear,33,322,425.04,Outlet,10626,9/18/2021
Sports Direct,South,Tennessee,Knoxville,Women's Street Footwear,30,322,483,Outlet,9660,4/17/2021
Sports Direct,South,Alabama,Birmingham,Women's Street Footwear,31,322,598.92,Outlet,9982,9/8/2021
West Gear,South,Arkansas,Little Rock,Women's Street Footwear,25,320,3200,Online,8000,11/20/2021
Kohl's,West,California,Los Angeles,Men's Street Footwear,39,315,614.25,Outlet,12285,5/25/2021
Sports Direct,South,Tennessee,Knoxville,Women's Street Footwear,39,314,612.3,Outlet,12246,4/23/2021
Foot Locker,Southeast,Georgia,Atlanta,Men's Street Footwear,38,312,711.36,Online,11856,2/7/2021
Foot Locker,Southeast,South Carolina,Charleston,Men's Street Footwear,63,311,1175.58,Online,19593,7/5/2021
Sports Direct,Southeast,North Carolina,Charlotte,Men's Street Footwear,61,308,939.4,Online,18788,8/3/2021
West Gear,West,California,San Francisco,Women's Apparel,60,306,550.8,Outlet,18360,1/11/2021
West Gear,West,California,San Francisco,Men's Athletic Footwear,46,306,281.52,Outlet,14076,2/6/2021
Kohl's,West,California,Los Angeles,Men's Street Footwear,36,306,550.8,Outlet,11016,5/1/2021
Sports Direct,South,Tennessee,Knoxville,Women's Apparel,37,306,679.32,Outlet,11322,4/14/2021
West Gear,South,Louisiana,New Orleans,Men's Street Footwear,62,306,758.88,Outlet,18972,7/16/2021
Foot Locker,West,Idaho,Boise,Women's Street Footwear,39,305,475.8,Outlet,11895,8/8/2021
West Gear,West,California,San Francisco,Men's Street Footwear,45,302,543.6,Outlet,13590,1/18/2021
Sports Direct,South,Tennessee,Knoxville,Men's Apparel,30,300,3150,Outlet,9000,4/1/2021
Sports Direct,South,Alabama,Birmingham,Men's Apparel,30,300,4050,Outlet,9000,9/28/2021
Foot Locker,Midwest,Missouri,St. Louis,Women's Street Footwear,30,300,3150,In-store,9000,5/19/2021
Foot Locker,Midwest,Missouri,St. Louis,Women's Street Footwear,15,300,1575,In-store,4500,9/19/2021
West Gear,West,Utah,Salt Lake City,Women's Athletic Footwear,20,300,2400,In-store,6000,2/11/2021
West Gear,West,Utah,Salt Lake City,Women's Street Footwear,20,300,2100,In-store,6000,10/11/2021
Amazon,Midwest,Ohio,Columbus,Women's Street Footwear,30,300,3600,Online,9000,1/22/2021
Foot Locker,South,Mississippi,Jackson,Women's Athletic Footwear,20,300,2400,Online,6000,4/17/2021
Sports Direct,South,Mississippi,Jackson,Women's Athletic Footwear,20,300,2400,Online,6000,1/23/2021
Walmart,South,Arkansas,Little Rock,Men's Athletic Footwear,25,300,2625,Online,7500,4/20/2021
Walmart,South,Arkansas,Little Rock,Women's Street Footwear,15,300,1800,Online,4500,4/20/2021
Walmart,South,Arkansas,Little Rock,Women's Street Footwear,20,300,2400,Online,6000,10/21/2021
Kohl's,South,Oklahoma,Oklahoma City,Men's Athletic Footwear,15,300,1575,Online,4500,11/20/2021
Kohl's,South,Oklahoma,Oklahoma City,Women's Street Footwear,15,300,1575,Online,4500,2/14/2021
Kohl's,Midwest,Kansas,Wichita,Women's Apparel,30,300,3150,Online,9000,4/13/2021
Foot Locker,Midwest,Kansas,Wichita,Women's Apparel,30,300,3150,Online,9000,10/14/2021
West Gear,Midwest,Wisconsin,Milwaukee,Men's Athletic Footwear,30,300,3150,In-store,9000,6/3/2021
West Gear,Midwest,Wisconsin,Milwaukee,Women's Street Footwear,25,300,2625,In-store,7500,1/10/2021
West Gear,Midwest,Indiana,Indianapolis,Women's Apparel,20,300,2400,In-store,6000,2/10/2021
West Gear,Midwest,Indiana,Indianapolis,Women's Street Footwear,25,300,3000,In-store,7500,1/17/2021
West Gear,Midwest,Indiana,Indianapolis,Women's Street Footwear,30,300,3600,In-store,9000,2/17/2021
Sports Direct,Northeast,New Jersey,Newark,Women's Street Footwear,30,300,2700,In-store,9000,1/7/2021
West Gear,West,Oregon,Portland,Men's Street Footwear,60,298,715.2,Outlet,17880,7/23/2021
Kohl's,West,California,Los Angeles,Men's Street Footwear,36,297,427.68,Outlet,10692,4/19/2021
Walmart,Southeast,Florida,Orlando,Men's Street Footwear,68,297,807.84,Outlet,20196,7/16/2021
Foot Locker,Midwest,Missouri,St. Louis,Women's Street Footwear,25,295,2581.25,In-store,7375,11/18/2021
Sports Direct,Southeast,North Carolina,Charlotte,Men's Street Footwear,60,294,882,Online,17640,7/2/2021
West Gear,West,California,San Francisco,Men's Street Footwear,51,293,597.72,Online,14943,2/11/2021
Foot Locker,Southeast,South Carolina,Charleston,Men's Street Footwear,67,290,1165.8,Online,19430,12/5/2021
West Gear,West,California,San Francisco,Men's Street Footwear,36,289,312.12,Outlet,10404,1/30/2021
Kohl's,West,California,Los Angeles,Men's Street Footwear,38,289,549.1,Outlet,10982,5/7/2021
Foot Locker,South,Mississippi,Jackson,Men's Street Footwear,47,289,679.15,Outlet,13583,7/16/2021
Kohl's,West,California,Los Angeles,Men's Athletic Footwear,42,288,362.88,Outlet,12096,5/26/2021
West Gear,Southeast,Florida,Orlando,Men's Street Footwear,36,288,518.4,Outlet,10368,2/10/2021
Foot Locker,Southeast,South Carolina,Charleston,Men's Street Footwear,51,287,878.22,Online,14637,9/5/2021
West Gear,West,California,San Francisco,Men's Street Footwear,40,287,459.2,Outlet,11480,1/24/2021
West Gear,West,California,San Francisco,Men's Athletic Footwear,42,287,241.08,Outlet,12054,1/25/2021
Sports Direct,South,Tennessee,Knoxville,Women's Street Footwear,46,285,786.6,Online,13110,4/23/2021
Kohl's,West,California,Los Angeles,Men's Street Footwear,30,285,427.5,Outlet,8550,4/25/2021
Foot Locker,Southeast,South Carolina,Charleston,Men's Street Footwear,33,283,560.34,Online,9339,4/6/2021
Foot Locker,Southeast,South Carolina,Charleston,Men's Street Footwear,48,282,676.8,Online,13536,5/5/2021
West Gear,West,California,San Francisco,Women's Street Footwear,42,281,472.08,Outlet,11802,1/8/2021
Sports Direct,South,Texas,Dallas,Men's Street Footwear,46,281,646.3,Outlet,12926,10/16/2021
Foot Locker,Southeast,Georgia,Atlanta,Women's Apparel,30,281,421.5,Outlet,8430,1/9/2021
West Gear,West,California,San Francisco,Men's Athletic Footwear,39,280,218.4,Outlet,10920,1/31/2021
Sports Direct,South,Texas,Dallas,Men's Athletic Footwear,40,280,448,Outlet,11200,9/11/2021
Sports Direct,South,Texas,Dallas,Women's Apparel,42,280,705.6,Outlet,11760,9/15/2021
Sports Direct,South,Alabama,Birmingham,Women's Apparel,36,280,604.8,Outlet,10080,9/5/2021
Sports Direct,South,Alabama,Birmingham,Women's Apparel,47,280,921.2,Outlet,13160,9/11/2021
Walmart,Southeast,Florida,Orlando,Men's Street Footwear,58,280,649.6,Outlet,16240,12/16/2021
Foot Locker,Southeast,South Carolina,Charleston,Women's Apparel,58,278,967.44,Online,16124,8/6/2021
Foot Locker,Southeast,South Carolina,Charleston,Men's Street Footwear,50,278,834,Online,13900,11/6/2021
West Gear,West,California,San Francisco,Men's Athletic Footwear,47,278,261.32,Outlet,13066,1/19/2021
Sports Direct,South,Alabama,Birmingham,Women's Street Footwear,36,278,500.4,Outlet,10008,9/14/2021
West Gear,West,Idaho,Boise,Women's Street Footwear,34,278,378.08,Outlet,9452,7/6/2021
West Gear,West,California,San Francisco,Men's Street Footwear,56,277,620.48,Online,15512,1/12/2021
Sports Direct,Southeast,North Carolina,Charlotte,Men's Street Footwear,28,276,386.4,Online,7728,3/2/2021
Sports Direct,South,Alabama,Birmingham,Men's Apparel,25,275,2750,Outlet,6875,8/23/2021
Foot Locker,Midwest,Michigan,Detroit,Women's Athletic Footwear,25,275,2750,In-store,6875,1/18/2021
Foot Locker,Midwest,Missouri,St. Louis,Men's Athletic Footwear,30,275,2887.5,In-store,8250,4/18/2021
Foot Locker,Midwest,Missouri,St. Louis,Women's Street Footwear,20,275,1925,In-store,5500,4/18/2021
Foot Locker,Midwest,Missouri,St. Louis,Women's Athletic Footwear,15,275,1650,In-store,4125,9/19/2021
Foot Locker,Midwest,Missouri,St. Louis,Men's Apparel,25,275,2406.25,In-store,6875,9/19/2021
West Gear,West,Utah,Salt Lake City,Women's Athletic Footwear,25,275,2750,In-store,6875,5/12/2021
West Gear,West,Utah,Salt Lake City,Women's Athletic Footwear,20,275,2200,In-store,5500,10/11/2021
West Gear,West,Utah,Salt Lake City,Men's Apparel,30,275,2887.5,In-store,8250,10/11/2021
Foot Locker,South,Mississippi,Jackson,Women's Athletic Footwear,20,275,2200,Online,5500,3/16/2021
Walmart,South,Arkansas,Little Rock,Women's Athletic Footwear,20,275,2200,Online,5500,10/21/2021
Walmart,South,Arkansas,Little Rock,Men's Apparel,30,275,2887.5,Online,8250,10/21/2021
West Gear,South,Arkansas,Little Rock,Men's Athletic Footwear,25,275,2406.25,Online,6875,2/21/2021
West Gear,South,Oklahoma,Oklahoma City,Women's Street Footwear,10,275,1100,Online,2750,3/19/2021
West Gear,South,Oklahoma,Oklahoma City,Women's Apparel,25,275,2750,Online,6875,3/19/2021
West Gear,South,Oklahoma,Oklahoma City,Women's Street Footwear,15,275,1650,Online,4125,9/19/2021
Foot Locker,Midwest,Kansas,Wichita,Men's Athletic Footwear,15,275,1443.75,Online,4125,11/13/2021
Foot Locker,Midwest,Kansas,Wichita,Women's Street Footwear,30,275,2475,Online,8250,1/12/2021
Sports Direct,Midwest,South Dakota,Sioux Falls,Women's Street Footwear,25,275,2062.5,Online,6875,1/9/2021
Sports Direct,Midwest,North Dakota,Fargo,Women's Apparel,25,275,2750,Online,6875,2/9/2021
Foot Locker,Midwest,Iowa,Des Moines,Men's Athletic Footwear,30,275,2887.5,In-store,8250,6/6/2021
Foot Locker,Midwest,Iowa,Des Moines,Men's Athletic Footwear,30,275,2887.5,In-store,8250,9/7/2021
West Gear,Midwest,Indiana,Indianapolis,Women's Street Footwear,15,275,1443.75,In-store,4125,3/9/2021
West Gear,Midwest,Indiana,Indianapolis,Women's Apparel,25,275,2750,In-store,6875,3/9/2021
West Gear,Midwest,Indiana,Indianapolis,Men's Athletic Footwear,30,275,3300,In-store,8250,9/11/2021
West Gear,Northeast,West Virginia,Charleston,Men's Athletic Footwear,30,275,3300,In-store,8250,3/16/2021
Foot Locker,Northeast,Maryland,Baltimore,Women's Street Footwear,30,275,3300,In-store,8250,2/15/2021
Foot Locker,Northeast,Delaware,Wilmington,Women's Street Footwear,30,275,3300,In-store,8250,3/13/2021
Kohl's,Northeast,Delaware,Wilmington,Women's Street Footwear,25,275,2750,In-store,6875,1/10/2021
West Gear,West,California,San Francisco,Men's Street Footwear,56,273,764.4,Online,15288,1/6/2021
West Gear,West,California,San Francisco,Men's Street Footwear,62,273,846.3,Online,16926,1/18/2021
West Gear,West,California,San Francisco,Men's Athletic Footwear,58,273,475.02,Online,15834,2/12/2021
Sports Direct,South,Texas,Dallas,Women's Street Footwear,46,273,753.48,Online,12558,9/24/2021
Foot Locker,Southeast,South Carolina,Charleston,Men's Street Footwear,51,273,835.38,Online,13923,6/7/2021
Kohl's,West,California,Los Angeles,Men's Athletic Footwear,37,272,301.92,Outlet,10064,4/26/2021
Kohl's,West,California,Los Angeles,Men's Street Footwear,40,272,544,Outlet,10880,5/19/2021
Sports Direct,South,Texas,Dallas,Women's Apparel,47,272,767.04,Outlet,12784,9/21/2021
Sports Direct,South,Tennessee,Knoxville,Men's Street Footwear,29,272,394.4,Outlet,7888,4/15/2021
Sports Direct,South,Tennessee,Knoxville,Women's Apparel,38,272,620.16,Outlet,10336,4/20/2021
Walmart,Southeast,Florida,Orlando,Men's Street Footwear,50,272,408,Outlet,13600,6/17/2021
Walmart,Southeast,Florida,Orlando,Men's Athletic Footwear,60,272,489.6,Outlet,16320,8/17/2021
West Gear,Southeast,Florida,Orlando,Men's Street Footwear,30,272,408,Outlet,8160,1/12/2021
Foot Locker,Southeast,Virginia,Richmond,Men's Street Footwear,60,272,652.8,Outlet,16320,7/23/2021
Foot Locker,Southeast,Virginia,Richmond,Men's Street Footwear,67,272,728.96,Outlet,18224,8/24/2021
West Gear,South,Louisiana,New Orleans,Men's Street Footwear,46,272,625.6,Outlet,12512,12/16/2021
West Gear,West,California,San Francisco,Women's Athletic Footwear,40,271,325.2,Outlet,10840,2/14/2021
Sports Direct,South,Tennessee,Knoxville,Women's Apparel,31,271,504.06,Outlet,8401,4/8/2021
Sports Direct,South,Tennessee,Knoxville,Men's Athletic Footwear,44,271,596.2,Outlet,11924,4/22/2021
West Gear,West,Idaho,Boise,Men's Athletic Footwear,40,271,433.6,Outlet,10840,7/6/2021
Walmart,South,Arkansas,Little Rock,Men's Street Footwear,39,271,422.76,Outlet,10569,7/19/2021
Kohl's,West,California,Los Angeles,Men's Street Footwear,44,270,594,Online,11880,4/19/2021
West Gear,South,Louisiana,New Orleans,Men's Street Footwear,86,270,1161,Online,23220,7/16/2021
Foot Locker,Southeast,South Carolina,Charleston,Men's Athletic Footwear,58,270,783,Online,15660,7/5/2021
West Gear,West,California,San Francisco,Men's Athletic Footwear,56,268,450.24,Online,15008,1/25/2021
Sports Direct,South,Alabama,Birmingham,Women's Street Footwear,51,268,820.08,Online,13668,9/14/2021
Foot Locker,Southeast,South Carolina,Charleston,Men's Street Footwear,33,265,524.7,Online,8745,3/5/2021
West Gear,West,California,San Francisco,Women's Street Footwear,46,264,485.76,Outlet,12144,1/14/2021
West Gear,West,California,San Francisco,Women's Apparel,56,264,295.68,Outlet,14784,1/17/2021
West Gear,West,California,San Francisco,Women's Apparel,51,264,269.28,Outlet,13464,1/29/2021
Kohl's,West,California,Los Angeles,Men's Street Footwear,24,264,253.44,Outlet,6336,3/19/2021
Kohl's,West,California,Los Angeles,Women's Apparel,48,264,253.44,Outlet,12672,4/24/2021
Kohl's,West,California,Los Angeles,Men's Athletic Footwear,41,264,324.72,Outlet,10824,5/2/2021
Kohl's,West,California,Los Angeles,Men's Athletic Footwear,39,264,308.88,Outlet,10296,5/8/2021
Kohl's,West,California,Los Angeles,Men's Athletic Footwear,43,264,340.56,Outlet,11352,5/14/2021
Kohl's,West,California,Los Angeles,Men's Athletic Footwear,42,264,332.64,Outlet,11088,5/20/2021
Sports Direct,South,Texas,Dallas,Women's Apparel,34,264,448.8,Outlet,8976,9/9/2021
Sports Direct,South,Texas,Dallas,Men's Athletic Footwear,34,264,359.04,Outlet,8976,9/17/2021
Sports Direct,South,Tennessee,Knoxville,Men's Athletic Footwear,30,264,396,Outlet,7920,4/16/2021
Sports Direct,South,Tennessee,Knoxville,Men's Athletic Footwear,37,264,488.4,Outlet,9768,5/16/2021
Sports Direct,South,Alabama,Birmingham,Men's Athletic Footwear,37,264,488.4,Outlet,9768,9/7/2021
West Gear,West,Idaho,Boise,Men's Street Footwear,35,264,462,Outlet,9240,7/6/2021
Foot Locker,West,Idaho,Boise,Women's Apparel,51,264,807.84,Outlet,13464,7/6/2021
Foot Locker,Southeast,Georgia,Atlanta,Women's Street Footwear,24,264,190.08,Outlet,6336,1/9/2021
West Gear,West,California,San Francisco,Men's Street Footwear,52,263,547.04,Online,13676,2/5/2021
Sports Direct,South,Texas,Dallas,Women's Apparel,53,263,836.34,Online,13939,9/15/2021
Sports Direct,South,Tennessee,Knoxville,Women's Street Footwear,36,263,568.08,Online,9468,4/17/2021
West Gear,Northeast,New York,Albany,Men's Street Footwear,59,263,931.02,Online,15517,6/10/2021
Sports Direct,Midwest,Michigan,Detroit,Men's Street Footwear,55,263,867.9,Online,14465,8/16/2021
Sports Direct,Southeast,South Carolina,Charleston,Men's Street Footwear,34,263,447.1,Online,8942,2/4/2021
Sports Direct,Southeast,North Carolina,Charlotte,Men's Street Footwear,27,263,355.05,Online,7101,4/3/2021
Sports Direct,Southeast,North Carolina,Charlotte,Women's Apparel,64,263,1009.92,Online,16832,7/2/2021
West Gear,West,California,San Francisco,Men's Athletic Footwear,49,263,257.74,Outlet,12887,1/13/2021
West Gear,West,California,San Francisco,Men's Apparel,59,263,931.02,Outlet,15517,1/22/2021
West Gear,West,California,San Francisco,Men's Street Footwear,39,263,410.28,Outlet,10257,2/5/2021
Sports Direct,South,Alabama,Birmingham,Women's Apparel,36,263,662.76,Outlet,9468,8/30/2021
Walmart,Southeast,Florida,Orlando,Men's Athletic Footwear,74,263,583.86,Outlet,19462,7/16/2021
West Gear,West,Idaho,Boise,Men's Athletic Footwear,35,263,368.2,Outlet,9205,6/4/2021
Foot Locker,South,Mississippi,Jackson,Men's Street Footwear,31,263,326.12,Outlet,8153,6/18/2021
Walmart,Southeast,Florida,Orlando,Men's Street Footwear,83,261,866.52,Online,21663,7/16/2021
West Gear,Northeast,New York,Albany,Men's Street Footwear,50,261,783,Online,13050,5/8/2021
West Gear,West,California,San Francisco,Men's Athletic Footwear,66,259,512.82,Online,17094,1/19/2021
Foot Locker,Southeast,Georgia,Atlanta,Men's Street Footwear,39,256,599.04,Online,9984,1/9/2021
West Gear,West,California,San Francisco,Men's Athletic Footwear,50,256,384,Outlet,12800,1/7/2021
West Gear,West,California,San Francisco,Women's Apparel,56,256,143.36,Outlet,14336,2/10/2021
West Gear,West,California,San Francisco,Women's Street Footwear,44,256,337.92,Outlet,11264,2/13/2021
West Gear,West,California,San Francisco,Women's Apparel,50,256,256,Outlet,12800,2/16/2021
Kohl's,West,California,Los Angeles,Men's Street Footwear,36,256,460.8,Outlet,9216,5/13/2021
Sports Direct,South,Texas,Dallas,Men's Street Footwear,30,256,307.2,Outlet,7680,9/10/2021
Sports Direct,South,Texas,Dallas,Men's Street Footwear,34,256,348.16,Outlet,8704,9/16/2021
Sports Direct,South,Texas,Dallas,Men's Athletic Footwear,43,256,550.4,Outlet,11008,9/23/2021
Sports Direct,South,Texas,Dallas,Women's Apparel,54,256,829.44,Outlet,13824,10/21/2021
Sports Direct,South,Tennessee,Knoxville,Men's Street Footwear,28,256,358.4,Outlet,7168,4/9/2021
Sports Direct,South,Alabama,Birmingham,Men's Street Footwear,31,256,396.8,Outlet,7936,9/6/2021
Walmart,Southeast,Florida,Orlando,Men's Athletic Footwear,55,256,422.4,Outlet,14080,12/16/2021
Sports Direct,Southeast,Virginia,Richmond,Men's Street Footwear,26,256,332.8,Outlet,6656,2/17/2021
West Gear,West,Oregon,Portland,Men's Street Footwear,69,256,706.56,Outlet,17664,8/24/2021
West Gear,West,Oregon,Portland,Men's Athletic Footwear,62,256,634.88,Outlet,15872,8/24/2021
West Gear,South,Louisiana,New Orleans,Men's Street Footwear,47,256,601.6,Outlet,12032,6/17/2021
West Gear,South,Louisiana,New Orleans,Men's Athletic Footwear,57,256,583.68,Outlet,14592,8/17/2021
Foot Locker,Southeast,Georgia,Atlanta,Men's Athletic Footwear,30,256,307.2,Outlet,7680,1/9/2021
Walmart,South,Mississippi,Jackson,Men's Street Footwear,41,256,419.84,Outlet,10496,8/17/2021
Sports Direct,South,Mississippi,Jackson,Men's Street Footwear,48,256,614.4,Outlet,12288,12/16/2021
Sports Direct,South,Texas,Dallas,Women's Apparel,54,255,963.9,Online,13770,9/21/2021
West Gear,Southeast,Florida,Orlando,Men's Street Footwear,41,255,522.75,Online,10455,1/12/2021
Kohl's,West,Wyoming,Cheyenne,Men's Street Footwear,47,255,719.1,Online,11985,8/11/2021
Foot Locker,Southeast,Virginia,Richmond,Men's Street Footwear,79,255,1007.25,Online,20145,7/23/2021
Sports Direct,Midwest,Michigan,Detroit,Men's Street Footwear,55,255,841.5,Online,14025,12/15/2021
West Gear,West,Oregon,Portland,Men's Street Footwear,79,255,1007.25,Online,20145,7/23/2021
West Gear,South,Louisiana,New Orleans,Men's Street Footwear,86,255,1096.5,Online,21930,8/17/2021
West Gear,West,California,San Francisco,Women's Athletic Footwear,52,255,397.8,Outlet,13260,1/21/2021
Walmart,Southeast,Florida,Orlando,Men's Street Footwear,68,255,693.6,Outlet,17340,8/17/2021
West Gear,South,Louisiana,New Orleans,Men's Street Footwear,73,255,930.75,Outlet,18615,8/17/2021
Foot Locker,West,Idaho,Boise,Men's Athletic Footwear,37,255,377.4,Outlet,9435,8/8/2021
