Retailer,Region,State,City,Product,Price per Unit,Units Sold,Operating Profit,Sales Method,Total Sales,Month,Year,Day,Season,Date
Foot Locker,Northeast,New York,New York,Men's Apparel,43,289,372.81,Outlet,12427,1,2020,29,Q1,1/29/2020
Foot Locker,Northeast,New York,New York,Women's Athletic Footwear,31,289,358.36,Outlet,8959,2,2020,3,Q1,2/3/2020
Foot Locker,Northeast,New York,New York,Women's Athletic Footwear,33,289,381.48,Outlet,9537,2,2020,9,Q1,2/9/2020
Walmart,Northeast,New York,New York,Men's Apparel,51,289,442.17,Outlet,14739,4,2020,25,Q2,4/25/2020
Sports Direct,South,Texas,Houston,Men's Athletic Footwear,23,289,265.88,Outlet,6647,7,2020,26,Q3,7/26/2020
Walmart,South,Texas,Houston,Women's Apparel,44,289,762.96,Outlet,12716,10,2020,25,Q4,10/25/2020
West Gear,West,California,San Francisco,Men's Street Footwear,28,289,323.68,Outlet,8092,11,2020,7,Q4,11/7/2020
Foot Locker,Northeast,New York,New York,Women's Street Footwear,36,288,414.72,Outlet,10368,2,2020,8,Q1,2/8/2020
Foot Locker,Northeast,New York,New York,Men's Apparel,45,288,388.8,Outlet,12960,3,2020,8,Q1,3/8/2020
Walmart,South,Texas,Houston,Men's Athletic Footwear,30,287,344.4,Outlet,8610,8,2020,13,Q3,8/13/2020
Foot Locker,Northeast,New York,New York,Women's Apparel,61,286,697.84,Online,17446,3,2020,15,Q1,3/15/2020
Walmart,Northeast,New York,New York,Women's Street Footwear,54,285,769.5,Online,15390,5,2020,5,Q2,5/5/2020
Walmart,South,Texas,Houston,Men's Athletic Footwear,44,285,627,Online,12540,10,2020,27,Q4,10/27/2020
Walmart,South,Texas,Houston,Men's Athletic Footwear,32,285,364.8,Outlet,9120,8,2020,25,Q3,8/25/2020
Foot Locker,Southeast,Florida,Miami,Men's Street Footwear,53,284,903.12,Online,15052,9,2020,23,Q3,9/23/2020
Foot Locker,Northeast,New York,New York,Women's Athletic Footwear,36,281,404.64,Outlet,10116,1,2020,4,Q1,1/4/2020
Foot Locker,Northeast,New York,New York,Men's Apparel,44,281,494.56,Outlet,12364,2,2020,4,Q1,2/4/2020
Walmart,South,Texas,Houston,Women's Street Footwear,34,281,382.16,Outlet,9554,10,2020,22,Q4,10/22/2020
Walmart,Northeast,New York,New York,Women's Apparel,59,280,660.8,Online,16520,4,2020,24,Q2,4/24/2020
Foot Locker,Northeast,New York,New York,Men's Apparel,47,280,526.4,Outlet,13160,2,2020,10,Q1,2/10/2020
Walmart,Northeast,New York,New York,Men's Apparel,47,280,526.4,Outlet,13160,5,2020,1,Q2,5/1/2020
Walmart,Northeast,New York,New York,Men's Apparel,43,279,359.91,Outlet,11997,4,2020,17,Q2,4/17/2020
Walmart,Northeast,New York,New York,Men's Apparel,48,279,535.68,Outlet,13392,5,2020,7,Q2,5/7/2020
Foot Locker,Northeast,New York,New York,Women's Street Footwear,46,278,639.4,Online,12788,3,2020,6,Q1,3/6/2020
Foot Locker,Southeast,Florida,Miami,Women's Apparel,56,278,934.08,Online,15568,9,2020,22,Q3,9/22/2020
Foot Locker,Northeast,New York,New York,Men's Apparel,46,278,383.64,Outlet,12788,3,2020,14,Q1,3/14/2020
Foot Locker,Northeast,New York,New York,Women's Street Footwear,36,276,496.8,Online,9936,1,2020,21,Q1,1/21/2020
Walmart,South,Texas,Houston,Women's Apparel,37,276,612.72,Online,10212,8,2020,17,Q3,8/17/2020
Walmart,Northeast,New York,New York,Men's Athletic Footwear,53,273,578.76,Online,14469,4,2020,28,Q2,4/28/2020
Foot Locker,West,Washington,Seattle,Men's Street Footwear,44,273,720.72,Online,12012,8,2020,6,Q3,8/6/2020
Walmart,South,Texas,Houston,Women's Apparel,27,272,440.64,Outlet,7344,8,2020,11,Q3,8/11/2020
Walmart,South,Texas,Houston,Men's Street Footwear,31,272,337.28,Outlet,8432,9,2020,11,Q3,9/11/2020
West Gear,West,California,San Francisco,Men's Street Footwear,36,272,391.68,Outlet,9792,11,2020,13,Q4,11/13/2020
West Gear,South,Texas,Houston,Women's Street Footwear,33,271,357.72,Outlet,8943,11,2020,3,Q4,11/3/2020
West Gear,West,California,San Francisco,Men's Street Footwear,40,271,433.6,Outlet,10840,12,2020,25,Q4,12/25/2020
Foot Locker,Northeast,New York,New York,Men's Athletic Footwear,54,270,583.2,Online,14580,3,2020,5,Q1,3/5/2020
Walmart,Northeast,New York,New York,Men's Apparel,54,270,583.2,Online,14580,4,2020,17,Q2,4/17/2020
Walmart,Northeast,New York,New York,Men's Athletic Footwear,50,270,540,Online,13500,4,2020,20,Q2,4/20/2020
Sports Direct,Southeast,Florida,Miami,Men's Street Footwear,56,270,907.2,Online,15120,9,2020,29,Q3,9/29/2020
Foot Locker,Northeast,New York,New York,Women's Athletic Footwear,35,270,378,Outlet,9450,3,2020,13,Q1,3/13/2020
Walmart,Northeast,New York,New York,Women's Athletic Footwear,41,270,442.8,Outlet,11070,4,2020,30,Q2,4/30/2020
Sports Direct,Northeast,New York,New York,Men's Street Footwear,20,270,216,Outlet,5400,7,2020,19,Q3,7/19/2020
Sports Direct,Northeast,New York,New York,Men's Athletic Footwear,26,270,280.8,Outlet,7020,7,2020,20,Q3,7/20/2020
Walmart,South,Texas,Houston,Women's Apparel,39,270,526.5,Outlet,10530,9,2020,4,Q3,9/4/2020
Walmart,South,Texas,Houston,Men's Street Footwear,34,270,367.2,Outlet,9180,10,2020,20,Q4,10/20/2020
West Gear,West,California,San Francisco,Men's Street Footwear,44,270,475.2,Outlet,11880,12,2020,31,Q4,12/31/2020
Walmart,Northeast,New York,New York,Women's Street Footwear,47,268,629.8,Online,12596,4,2020,21,Q2,4/21/2020
Walmart,South,Texas,Houston,Men's Street Footwear,29,268,388.6,Online,7772,8,2020,12,Q3,8/12/2020
Walmart,South,Texas,Houston,Men's Street Footwear,37,268,495.8,Online,9916,8,2020,30,Q3,8/30/2020
Foot Locker,Southeast,Florida,Miami,Men's Street Footwear,41,268,659.28,Online,10988,8,2020,18,Q3,8/18/2020
Foot Locker,Northeast,New York,New York,Men's Athletic Footwear,53,267,566.04,Online,14151,3,2020,11,Q1,3/11/2020
Walmart,South,Texas,Houston,Women's Street Footwear,27,264,285.12,Outlet,7128,8,2020,20,Q3,8/20/2020
Walmart,South,Texas,Houston,Men's Street Footwear,33,264,348.48,Outlet,8712,9,2020,5,Q3,9/5/2020
West Gear,South,Texas,Houston,Men's Street Footwear,30,264,316.8,Outlet,7920,11,2020,1,Q4,11/1/2020
Walmart,Northeast,New York,New York,Women's Apparel,66,263,694.32,Online,17358,5,2020,2,Q2,5/2/2020
Sports Direct,South,Texas,Houston,Men's Athletic Footwear,30,263,315.6,Outlet,7890,8,2020,1,Q3,8/1/2020
Walmart,South,Texas,Houston,Women's Athletic Footwear,26,263,341.9,Outlet,6838,8,2020,21,Q3,8/21/2020
Foot Locker,Northeast,New York,New York,Men's Athletic Footwear,46,261,480.24,Online,12006,1,2020,8,Q1,1/8/2020
Foot Locker,Northeast,New York,New York,Women's Street Footwear,46,261,600.3,Online,12006,2,2020,8,Q1,2/8/2020
Foot Locker,Northeast,New York,New York,Women's Athletic Footwear,47,261,490.68,Online,12267,3,2020,7,Q1,3/7/2020
Walmart,Northeast,New York,New York,Men's Apparel,60,261,626.4,Online,15660,5,2020,7,Q2,5/7/2020
Walmart,South,Texas,Houston,Women's Apparel,53,261,829.98,Online,13833,10,2020,31,Q4,10/31/2020
Foot Locker,Northeast,New York,New York,Men's Athletic Footwear,47,260,488.8,Online,12220,1,2020,2,Q1,1/2/2020
Foot Locker,Northeast,New York,New York,Women's Apparel,46,260,478.4,Online,11960,1,2020,6,Q1,1/6/2020
Foot Locker,Northeast,New York,New York,Men's Athletic Footwear,48,259,497.28,Online,12432,1,2020,26,Q1,1/26/2020
Foot Locker,Northeast,New York,New York,Men's Athletic Footwear,50,259,518,Online,12950,2,2020,7,Q1,2/7/2020
Walmart,South,Texas,Houston,Men's Athletic Footwear,38,259,492.1,Online,9842,8,2020,13,Q3,8/13/2020
Walmart,South,Texas,Houston,Men's Athletic Footwear,41,259,530.95,Online,10619,8,2020,31,Q3,8/31/2020
West Gear,Southeast,Florida,Miami,Women's Apparel,63,259,1142.19,Online,16317,9,2020,10,Q3,9/10/2020
Walmart,Northeast,New York,New York,Women's Street Footwear,52,258,670.8,Online,13416,4,2020,29,Q2,4/29/2020
Foot Locker,Northeast,New York,New York,Women's Street Footwear,45,257,578.25,Online,11565,3,2020,18,Q1,3/18/2020
Foot Locker,Southeast,Florida,Miami,Men's Street Footwear,42,256,645.12,Online,10752,4,2020,24,Q2,4/24/2020
Sports Direct,South,Texas,Houston,Men's Athletic Footwear,33,255,420.75,Online,8415,7,2020,26,Q3,7/26/2020
Walmart,South,Texas,Houston,Men's Street Footwear,44,255,561,Online,11220,9,2020,5,Q3,9/5/2020
Walmart,South,Texas,Houston,Women's Street Footwear,47,255,599.25,Online,11985,10,2020,28,Q4,10/28/2020
Foot Locker,Southeast,Florida,Miami,Men's Athletic Footwear,46,255,586.5,Online,11730,9,2020,24,Q3,9/24/2020
Sports Direct,South,Texas,Houston,Men's Street Footwear,20,255,204,Outlet,5100,7,2020,25,Q3,7/25/2020
Walmart,South,Texas,Houston,Men's Athletic Footwear,32,255,326.4,Outlet,8160,9,2020,6,Q3,9/6/2020
Walmart,South,Texas,Houston,Women's Street Footwear,39,255,397.8,Outlet,9945,9,2020,13,Q3,9/13/2020
Walmart,Northeast,New York,New York,Men's Apparel,64,254,650.24,Online,16256,5,2020,1,Q2,5/1/2020
Sports Direct,South,Texas,Houston,Men's Street Footwear,29,254,294.64,Online,7366,7,2020,31,Q3,7/31/2020
Sports Direct,Southeast,Florida,Miami,Men's Athletic Footwear,51,254,647.7,Online,12954,5,2020,24,Q2,5/24/2020
West Gear,West,California,San Francisco,Women's Street Footwear,46,254,467.36,Outlet,11684,12,2020,27,Q4,12/27/2020
Foot Locker,Northeast,New York,New York,Women's Street Footwear,39,252,491.4,Online,9828,2,2020,2,Q1,2/2/2020
Foot Locker,Northeast,New York,New York,Men's Apparel,55,252,693,Online,13860,3,2020,8,Q1,3/8/2020
Walmart,Northeast,New York,New York,Women's Athletic Footwear,47,252,592.2,Online,11844,4,2020,22,Q2,4/22/2020
Walmart,Northeast,New York,New York,Men's Apparel,58,252,584.64,Online,14616,4,2020,23,Q2,4/23/2020
Walmart,Northeast,New York,New York,Women's Athletic Footwear,50,252,630,Online,12600,4,2020,30,Q2,4/30/2020
West Gear,West,California,San Francisco,Men's Street Footwear,56,252,705.6,Online,14112,12,2020,31,Q4,12/31/2020
West Gear,Southeast,Florida,Miami,Men's Athletic Footwear,55,252,693,Online,13860,9,2020,18,Q3,9/18/2020
Foot Locker,Southeast,Florida,Miami,Men's Athletic Footwear,35,250,2625,In-store,8750,10,2020,18,Q4,10/18/2020
Foot Locker,Southeast,Florida,Miami,Women's Street Footwear,25,250,1875,In-store,6250,10,2020,19,Q4,10/19/2020
Foot Locker,Midwest,Minnesota,Minneapolis,Women's Apparel,35,250,3937.5,In-store,8750,10,2020,22,Q4,10/22/2020
Foot Locker,Northeast,New York,New York,Women's Street Footwear,36,250,450,Online,9000,1,2020,3,Q1,1/3/2020
Walmart,South,Texas,Houston,Women's Apparel,47,250,705,Online,11750,8,2020,23,Q3,8/23/2020
West Gear,Southeast,Florida,Miami,Women's Apparel,64,248,952.32,Online,15872,4,2020,24,Q2,4/24/2020
Sports Direct,Southeast,Florida,Miami,Women's Street Footwear,52,248,515.84,Online,12896,5,2020,24,Q2,5/24/2020
Foot Locker,Northeast,New York,New York,Women's Athletic Footwear,32,248,317.44,Outlet,7936,1,2020,22,Q1,1/22/2020
Walmart,South,Texas,Houston,Men's Athletic Footwear,29,248,287.68,Outlet,7192,9,2020,12,Q3,9/12/2020
West Gear,South,Texas,Houston,Men's Athletic Footwear,33,248,163.68,Outlet,8184,11,2020,2,Q4,11/2/2020
Foot Locker,Northeast,New York,New York,Women's Athletic Footwear,41,247,506.35,Online,10127,1,2020,4,Q1,1/4/2020
Foot Locker,Northeast,New York,New York,Women's Street Footwear,39,247,481.65,Online,9633,1,2020,27,Q1,1/27/2020
Foot Locker,Northeast,New York,New York,Women's Street Footwear,46,247,454.48,Online,11362,3,2020,12,Q1,3/12/2020
Walmart,South,Texas,Houston,Women's Apparel,51,247,755.82,Online,12597,10,2020,25,Q4,10/25/2020
Foot Locker,Southeast,Florida,Miami,Women's Apparel,41,247,607.62,Online,10127,8,2020,11,Q3,8/11/2020
West Gear,West,California,San Francisco,Women's Street Footwear,40,247,395.2,Outlet,9880,11,2020,9,Q4,11/9/2020
Foot Locker,Northeast,New York,New York,Men's Apparel,59,245,578.2,Online,14455,2,2020,10,Q1,2/10/2020
Walmart,South,Texas,Houston,Women's Athletic Footwear,31,245,379.75,Outlet,7595,8,2020,15,Q3,8/15/2020
West Gear,West,California,San Francisco,Women's Apparel,41,245,200.9,Outlet,10045,12,2020,24,Q4,12/24/2020
West Gear,West,California,San Francisco,Women's Apparel,62,245,303.8,Outlet,15190,12,2020,30,Q4,12/30/2020
West Gear,West,Nevada,Las Vegas,Men's Street Footwear,47,245,575.75,Outlet,11515,2,2020,1,Q1,2/1/2020
West Gear,Southeast,Florida,Miami,Women's Apparel,67,244,1144.36,Online,16348,9,2020,16,Q3,9/16/2020
Sports Direct,Southeast,Florida,Miami,Men's Street Footwear,56,244,819.84,Online,13664,10,2020,5,Q4,10/5/2020
Foot Locker,Northeast,New York,New York,Men's Apparel,58,243,563.76,Online,14094,1,2020,23,Q1,1/23/2020
Foot Locker,Northeast,New York,New York,Women's Athletic Footwear,46,243,558.9,Online,11178,3,2020,13,Q1,3/13/2020
Walmart,South,Texas,Houston,Men's Athletic Footwear,43,243,522.45,Online,10449,10,2020,21,Q4,10/21/2020
Foot Locker,Northeast,New York,New York,Women's Athletic Footwear,47,241,566.35,Online,11327,3,2020,31,Q1,3/31/2020
Walmart,South,Texas,Houston,Men's Street Footwear,44,240,528,Online,10560,9,2020,11,Q3,9/11/2020
Foot Locker,Southeast,Florida,Miami,Women's Street Footwear,32,240,307.2,Online,7680,8,2020,14,Q3,8/14/2020
Foot Locker,Northeast,New York,New York,Women's Athletic Footwear,31,240,297.6,Outlet,7440,1,2020,28,Q1,1/28/2020
Walmart,South,Texas,Houston,Women's Street Footwear,23,240,220.8,Outlet,5520,8,2020,14,Q3,8/14/2020
Foot Locker,Northeast,New York,New York,Women's Athletic Footwear,41,239,489.95,Online,9799,2,2020,3,Q1,2/3/2020
West Gear,West,Washington,Seattle,Men's Street Footwear,73,239,697.88,Online,17447,7,2020,1,Q3,7/1/2020
West Gear,West,California,San Francisco,Men's Athletic Footwear,36,239,172.08,Outlet,8604,11,2020,8,Q4,11/8/2020
Foot Locker,Northeast,New York,New York,Women's Apparel,45,238,428.4,Online,10710,1,2020,30,Q1,1/30/2020
Foot Locker,Northeast,New York,New York,Women's Apparel,49,238,466.48,Online,11662,2,2020,5,Q1,2/5/2020
Walmart,South,Texas,Houston,Men's Street Footwear,39,238,464.1,Online,9282,8,2020,18,Q3,8/18/2020
Walmart,South,Texas,Houston,Men's Athletic Footwear,42,238,499.8,Online,9996,8,2020,19,Q3,8/19/2020
Walmart,South,Texas,Houston,Men's Street Footwear,37,238,352.24,Online,8806,8,2020,24,Q3,8/24/2020
Walmart,South,Texas,Houston,Men's Athletic Footwear,42,238,499.8,Online,9996,8,2020,25,Q3,8/25/2020
Walmart,South,Texas,Houston,Men's Street Footwear,41,238,487.9,Online,9758,10,2020,26,Q4,10/26/2020
Sports Direct,Northeast,New York,New York,Women's Street Footwear,27,238,257.04,Outlet,6426,7,2020,21,Q3,7/21/2020
